market_date,mean_sentiment,tweet_count,GLD,SPY,USO,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2020-10-08,0.05039784704046,29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-10-09,-0.0173631688245596,39,1.0,1.0,-1.0,1.0,1.0,-1.0,0.0,1.0,1.0,1.0,-1.0,0.0,1.0,1.0
2020-10-12,0.0071912021799521,33,-1.0,1.0,-1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-10-13,0.0984285634809306,42,-1.0,-1.0,1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0
2020-10-14,0.0333260870388438,31,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
2020-10-15,-0.0715991831488079,45,1.0,0.0,0.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,0.0,1.0,0.0,-1.0,1.0
2020-10-16,-0.164245499554893,29,-1.0,0.0,-1.0,1.0,0.0,-1.0,0.0,1.0,-1.0,0.0,-1.0,1.0,1.0,-1.0
2020-10-19,0.0511970060138866,29,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2020-10-20,0.1088729277253151,36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
2020-10-21,0.0721117292131696,35,1.0,0.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
2020-10-22,0.0834656724706292,40,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.0,-1.0,1.0,1.0,1.0
2020-10-23,0.0322667353579567,36,0.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
2020-10-26,0.009689678509648,26,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
2020-10-27,-0.0159416766837239,32,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.0,-1.0,0.0
